1946,12760137
1947,17630039
1948,24487263
1949,26574257
1950,20894256
1951,23264090
1952,22069984
1953,21714546
1954,24505593
1955,29069986
1956,28204984
1957,29178806
1958,28086845
1959,27909903
1960,30784479
1961,31824045
1962,33864981
1963,36949060
1964,38896434
1965,38140552
1966,39208596
1967,39915572
1968,42297140
1969,44638407
1970,50631700
1971,52069098
1972,56071169
1973,60015526
1974,57294163
1975,54213685
1976,58203792
1977,55993691
1978,57226484
1979,61321326
1980,52024931
1981,55832893
1982,53565287
1983,51668238
1984,54214049
1985,54366320
1986,53728532
1987,57373914
1988,52937221
1989,53696289
1990,62140063
1991,65738192
1992,60236456
1993,60660781
1994,61034437
1995,64011231
1996,67355343
1997,67252097
1998,66886986
1999,65639881
2000,66138790
2001,70138688
2002,71942960
2003,77450503
2004,77667970
2005,79067961
2006,76796491
2007,74096973
2008,73472267
2009,67290760
2010,72000290
2011,69888739
2012,67263274
2013,67758606
2014,64160937
2015,66351619
2016,67215457
2017,69598854
2018,66565408
2019,67962416
2020,60634876
