1;"Twilight Sparkle";"Princess Twilight Sparkle";"https://mlp.fandom.com/wiki/Twilight_Sparkle";"Canterlot (S1E1, S9E26)\nCastle of Friendship, Ponyville (seasons 5-9)\nGolden Oak Library, Ponyville (seasons 1-4)\nCrystal Princess Palace (toy line)";"Ruler of Equestria (S9E26)\nFounder/leader of the Council of Friendship (S9E26)\nRuler of the Castle of Friendship (S4E26-S9E26)\nFounder/principal of the School of Friendship (S8E1-S9E20)\nStarlight Glimmer's teacher (S5E26-S7E1)\nGolden Oak Library librarian (seasons 1-4)\nPrincess Celestia's student (seasons 1-3)\nStudent at Celestia's School for Gifted Unicorns (formerly)";"Alicorn,Unicorn,Human";"https://vignette.wikia.nocookie.net/mlp/images/b/bc/Princess_Twilight_Sparkle_ID_S4E26.png/revision/latest?cb=20160207045127,https://vignette.wikia.nocookie.net/mlp/images/6/6c/Twilight_S2E25_cropped.png/revision/latest?cb=20160315121005,https://vignette.wikia.nocookie.net/mlp/images/9/97/Twilight_filly_crop_S2E25.png/revision/latest?cb=20140108015837,https://vignette.wikia.nocookie.net/mlp/images/1/18/Twilight_Sparkle_infant_ID_MLPS2.png/revision/latest?cb=20190823095629,https://vignette.wikia.nocookie.net/mlp/images/e/ef/Future_Twilight_Sparkle_ID_S9E26.png/revision/latest?cb=20191013013633,https://vignette.wikia.nocookie.net/mlp/images/0/0c/Twilight_Sparkle_human_at_lockers_EG.png/revision/latest?cb=20141211040145"
2;"Applejack";"";"https://mlp.fandom.com/wiki/Applejack";"Sweet Apple Acres";"Farmer\nSchool of Friendship honesty teacher (S8E1 onward)\nCouncil of Friendship member (S9E26)";"Earth";"https://vignette.wikia.nocookie.net/mlp/images/d/d8/Applejack_S01E13_cropped.png/revision/latest?cb=20130419182236,https://vignette.wikia.nocookie.net/mlp/images/5/5e/Teenage_Applejack_ID_S6E23.png/revision/latest?cb=20161009222620,https://vignette.wikia.nocookie.net/mlp/images/0/07/Filly_Applejack_S1E23.png/revision/latest?cb=20131223181959,https://vignette.wikia.nocookie.net/mlp/images/0/07/Applejack_infant_ID_S3E08.png/revision/latest?cb=20130811205001,https://vignette.wikia.nocookie.net/mlp/images/0/05/Future_Applejack_ID_S9E26.png/revision/latest?cb=20191013013956"
3;"Fluttershy";"";"https://mlp.fandom.com/wiki/Fluttershy";"Outside of Ponyville, in a cottage near the Everfree Forest\nCloudsdale (formerly)";"Animal caretaker\nPony Tones singer (part-time)\nSchool of Friendship kindness teacher (S8E1 onward)\nCouncil of Friendship member (S9E26)";"Pegasus";"https://vignette.wikia.nocookie.net/mlp/images/d/d6/Fluttershy_ID_S1E17.png/revision/latest?cb=20190410214903,https://vignette.wikia.nocookie.net/mlp/images/7/7a/Filly_Fluttershy_ID_S1E23.png/revision/latest?cb=20130920035134,https://vignette.wikia.nocookie.net/mlp/images/0/0c/Future_Fluttershy_ID_S9E26.png/revision/latest?cb=20191013014150"
4;"Rarity";"";"https://mlp.fandom.com/wiki/Rarity";"Carousel Boutique, Ponyville";"Fashion designer\nShopkeeper\nSeamstress\nPony Tones soprano singer\nSchool of Friendship generosity teacher (S8E1 onward)\nCouncil of Friendship member (S9E26)\nH.O.O.F. Summer Mentor Program mentor to Charity Sweetmint (Rarity and the Curious Case of Charity)";"Unicorn";"https://vignette.wikia.nocookie.net/mlp/images/d/d1/Rarity_standing_S1E19_CROPPED.png/revision/latest?cb=20130418142043,https://vignette.wikia.nocookie.net/mlp/images/b/b5/Filly_Rarity_S01E23.png/revision/latest?cb=20130808215003,https://vignette.wikia.nocookie.net/mlp/images/f/f2/Future_Rarity_ID_S9E26.png/revision/latest?cb=20191013014704"
5;"Pinkie Pie";"Pinkamena Diane Pie";"https://mlp.fandom.com/wiki/Pinkie_Pie";"Sugarcube Corner, Ponyville\nPie Family Rock Farm, Rockville, Western Equestria (flashback in S1E23)";"Baker/caterer/party organizer for Sugarcube Corner\nFriendship ambassador to Yakyakistan (as of S7E11)\nSchool of Friendship laughter teacher (S8E1 onward)\nCanterlot gala planner (S9E26)\nCouncil of Friendship member (S9E26)";"Human,Earth";"https://vignette.wikia.nocookie.net/mlp/images/b/b2/Pinkie_Pie_ID_S4E11.png/revision/latest?cb=20190410214815,https://vignette.wikia.nocookie.net/mlp/images/6/60/Pinkie_Pie_as_a_filly_ID_S4E12.png/revision/latest?cb=20140204171208,https://vignette.wikia.nocookie.net/mlp/images/e/e4/Future_Pinkie_Pie_ID_S9E26.png/revision/latest?cb=20191013014325,https://vignette.wikia.nocookie.net/mlp/images/1/1e/Pinkie_Pie_human_ID_EG3b.png/revision/latest?cb=20160505154644"
6;"Rainbow Dash";"";"https://mlp.fandom.com/wiki/Rainbow_Dash";"Cloudominium over Ponyville\nCloudsdale (formerly)";"Ponyville weather patrol\nWonderbolt (trainee starting in S3E7, reservist starting in S4E21, full member as of S6E7)\nSchool of Friendship loyalty teacher (S8E1 onward)\nCouncil of Friendship member (S9E26)";"Pegasus";"https://vignette.wikia.nocookie.net/mlp/images/4/4b/Rainbow_Dash_Wonderbolt_fantasy_cropped_S1E3.png/revision/latest?cb=20190410214837,https://vignette.wikia.nocookie.net/mlp/images/e/e9/Filly_Rainbow_Dash_S1E23.png/revision/latest?cb=20130913164943,https://vignette.wikia.nocookie.net/mlp/images/2/25/Rainbow_Dash_infant_ID_S7E7.png/revision/latest?cb=20170813165602,https://vignette.wikia.nocookie.net/mlp/images/e/e2/Future_Rainbow_Dash_ID_S9E26.png/revision/latest?cb=20191013014524"
7;"Spike";"Spike the Dragon";"https://mlp.fandom.com/wiki/Spike";"Canterlot (S1E1 and S9E26)\nCastle of Friendship (S4E26 to S9E26)\nGolden Oak Library, Ponyville (season 1 to 4)";"Twilight Sparkle's assistant\nFriendship ambassador (as of S715)\nTwilight's royal advisor (as of S9E24)\nCouncil of Friendship member (as of S9E26)\nDragon Lord (temporarily in S6E5)";"Dog,Dragon";"https://vignette.wikia.nocookie.net/mlp/images/8/87/Spike_ID_S8E11.png/revision/latest?cb=20180526160714,https://vignette.wikia.nocookie.net/mlp/images/5/5c/Spike_ID_S4E24.png/revision/latest?cb=20140709021014,https://vignette.wikia.nocookie.net/mlp/images/7/70/Baby_Spike_ID_S9E4.png/revision/latest?cb=20190423232953,https://vignette.wikia.nocookie.net/mlp/images/3/30/Spike_newborn_ID_S1E23.png/revision/latest?cb=20130830145203,https://vignette.wikia.nocookie.net/mlp/images/8/8a/Future_Spike_ID_S9E26.png/revision/latest?cb=20191013014835,https://vignette.wikia.nocookie.net/mlp/images/5/50/Spike_ID_EG.png/revision/latest?cb=20130727075603"
8;"Apple Bloom";"Apple Blossom";"https://mlp.fandom.com/wiki/Apple_Bloom";"Sweet Apple Acres";"Cutie Mark Crusader\nSchool of Friendship teacher (S9E26)\nSchool of Friendship tutor (S8E12-S9E26)\nStudent (formerly)";"Earth";"https://vignette.wikia.nocookie.net/mlp/images/1/1c/Apple_Bloom_ID_S6E4.png/revision/latest?cb=20160411140505,https://vignette.wikia.nocookie.net/mlp/images/d/d3/Apple_Bloom_infant_ID_S2E23.png/revision/latest?cb=20150721214129,https://vignette.wikia.nocookie.net/mlp/images/f/fb/Adult_Apple_Bloom_ID_S9E22.png/revision/latest?cb=20190928155028"
9;"Scootaloo";"";"https://mlp.fandom.com/wiki/Scootaloo";"A house in Ponyville";"Cutie Mark Crusader\nSchool of Friendship teacher (S9E26)\nSchool of Friendship tutor (S8E12-S9E26)\nStudent (formerly)";"Pegasus";"https://vignette.wikia.nocookie.net/mlp/images/5/5a/Scootaloo_ID_S6E4.png/revision/latest?cb=20160411140522,https://vignette.wikia.nocookie.net/mlp/images/4/42/Adult_Scootaloo_ID_S9E22.png/revision/latest?cb=20190928155143"
10;"Sweetie Belle";"";"https://mlp.fandom.com/wiki/Sweetie_Belle";"";"Cutie Mark Crusader\nSchool of Friendship teacher (S9E26)\nSchool of Friendship tutor (S8E12-S9E26)\nStudent (formerly)";"Unicorn";"https://vignette.wikia.nocookie.net/mlp/images/f/f1/Sweetie_Belle_ID_S6E4.png/revision/latest?cb=20160411140540,https://vignette.wikia.nocookie.net/mlp/images/1/14/Younger_Sweetie_Belle_ID_S4E19.png/revision/latest?cb=20140325035303,https://vignette.wikia.nocookie.net/mlp/images/5/5b/Micro-Series_issue_3_baby_Sweetie_Belle.png/revision/latest?cb=20150722004545,https://vignette.wikia.nocookie.net/mlp/images/5/59/Adult_Sweetie_Belle_ID_S9E22.png/revision/latest?cb=20190928155049"
11;"Babs Seed";"Sweetie Babs";"https://mlp.fandom.com/wiki/Babs_Seed";"Manehattan\nFarrier Hill, Hooflyn (in comics)";"Student\nCutie Mark Crusader (former head of Manehattan Branch)";"Human,Earth";"https://vignette.wikia.nocookie.net/mlp/images/c/c0/Babs_Seed_ID_MLP_Facebook.png/revision/latest?cb=20190906111222,https://vignette.wikia.nocookie.net/mlp/images/e/e3/Babs_Seed_in_a_wolf_costume_S03E04.png/revision/latest?cb=20150507143028,https://vignette.wikia.nocookie.net/mlp/images/d/d8/Babs_Seed_IDW_Annual_1.png/revision/latest?cb=20131102150347"
12;"Gabby";"Gabriella";"https://mlp.fandom.com/wiki/Gabby";"Griffonstone";"Mail courier\nCutie Mark Crusader";"Griffon";"https://vignette.wikia.nocookie.net/mlp/images/e/ec/Gabby_ID_S6E19.png/revision/latest?cb=20160910211625"
13;"Princess Celestia";"Queen Celestia";"https://mlp.fandom.com/wiki/Princess_Celestia";"Silver Shoals (S9E26 onward)\nCanterlot (formerly)\nCastle of the Two Sisters (formerly)";"Co-ruler of Equestria (formerly)\nTwilight Sparkle's teacher (season 1 to 3)\nSunset Shimmer's teacher (formerly)";"Alicorn";"https://vignette.wikia.nocookie.net/mlp/images/2/2a/Princess_Celestia_ID_S4E01.png/revision/latest?cb=20140322224921,https://vignette.wikia.nocookie.net/mlp/images/2/2d/Legends_of_Magic_issue_1_Young_Celestia.png/revision/latest?cb=20170502170956"
